FECHA,REFERENCIA,DESCRIPCION,MONTO,BALANCE,,
          2023/05/08   ,  FT23128X28K7BNK   ,  COMPRAS CON T.DEBITO               ,   -620.00 DOP      ,   4714.02 DOP      ,         ,   
          2023/05/08   ,  FT23128TWWKTBNK   ,  COMPRAS CON T.DEBITO               ,   -399.98 DOP      ,   5334.02 DOP      ,         ,   
          2023/05/08   ,  FT231288STF8BNK   ,  FACTURA IB-BM-CUENTA               ,   -200.00 DOP      ,   5734 DOP      ,         ,   
          2023/05/08   ,  FT231288STF8BNK   ,  DR IMPUESTO DGII 0.0015               ,   -0.30 DOP      ,   5934 DOP      ,         ,   
          2023/05/05   ,  FT231257TX36BNK   ,  COMPRAS CON T.DEBITO               ,   -384.95 DOP      ,   5934.3 DOP      ,         ,   
          2023/05/04   ,  FT231242Y2BLBNK   ,  COMPRAS CON T.DEBITO               ,   -191.49 DOP      ,   6319.25 DOP      ,         ,   
          2023/05/03   ,  FT23123D90VKBNK   ,  COMPRAS CON T.DEBITO               ,   -250.00 DOP      ,   6510.74 DOP      ,         ,   
          2023/05/03   ,  FT23123Z978DBNK   ,  COMPRAS CON T.DEBITO               ,   -224.94 DOP      ,   6760.74 DOP      ,         ,   
          2023/05/03   ,  FT23123Q06FJBNK   ,  RETIRO EN ATM NO PROPIO               ,   -800.00 DOP      ,   6985.68 DOP      ,         ,   
          2023/05/02   ,  FT231222XG83BNK   ,  COMPRAS CON T.DEBITO               ,   -1523.20 DOP      ,   7785.68 DOP      ,         ,   
          2023/05/02   ,  FT231229MCR9BNK   ,  COMPRAS CON T.DEBITO               ,   -560.64 DOP      ,   9308.88 DOP      ,         ,   
          2023/05/02   ,  FT23122JGZJ3BNK   ,  COMPRAS CON T.DEBITO               ,   -1083.73 DOP      ,   9869.52 DOP      ,         ,   
          2023/05/02   ,  FT231229BBJPBNK   ,  COMPRAS CON T.DEBITO               ,   -5753.00 DOP      ,   10953.25 DOP      ,         ,   
          2023/05/02   ,  FT23122HF8Z2BNK   ,  COMPRAS CON T.DEBITO               ,   -1326.00 DOP      ,   16706.25 DOP      ,         ,   
          2023/05/02   ,  FT23122HFDFYBNK   ,  DR IMPUESTO DGII 0.0015    CUOTA NEVERA     797972254 CUENTA AHORROS / BANCO POPULAR DOMINICANO C POR A      ,   -6.45 DOP      ,   18032.25 DOP      ,            ,   
          2023/05/02   ,  FT23122HFDFYBNK   ,  TRANSFERENCIA ACH    CUOTA NEVERA     797972254 CUENTA AHORROS / BANCO POPULAR DOMINICANO C POR A      ,   -4300.00 DOP      ,   18038.7 DOP      ,            ,   
          2023/05/02   ,  FT23122FJ5PBBNK   ,  FACTURA IB-BM-CUENTA               ,   -830.39 DOP      ,   22338.7 DOP      ,         ,   
          2023/05/02   ,  FT23122FJ5PBBNK   ,  DR IMPUESTO DGII 0.0015               ,   -1.25 DOP      ,   23169.09 DOP      ,         ,   
          2023/05/02   ,  FT2312255QSKBNK   ,  FACTURA IB-BM-CUENTA               ,   -2528.50 DOP      ,   23170.34 DOP      ,         ,   
          2023/05/02   ,  FT2312255QSKBNK   ,  DR IMPUESTO DGII 0.0015               ,   -3.79 DOP      ,   25698.84 DOP      ,         ,   
